intent,question,answer
book_flight,How to Book a Flight ?,"Book a Flight, you can book your flight tickets in a few simple steps, click this link, https://bit.ly/BookaFlightTraveloka"
book_flight,What is the best way to book a flight?,"Book a Flight, you can book your flight tickets in a few simple steps, click this link, https://bit.ly/BookaFlightTraveloka"
book_flight,What is the procedure for booking a flight?,"Book a Flight, you can book your flight tickets in a few simple steps, click this link, https://bit.ly/BookaFlightTraveloka"
book_flight,What is the best way to book a plane ticket?,"Book a Flight, you can book your flight tickets in a few simple steps, click this link, https://bit.ly/BookaFlightTraveloka"
book_flight,What is the procedure to book a plane ticket,"Book a Flight, you can book your flight tickets in a few simple steps, click this link, https://bit.ly/BookaFlightTraveloka"
change_date,"can i change the date, time, or route of my flight through easy reschedule?","Some airlines allow changes for date, time, route, and airline, while some only allow changes for date and time. Please refer to the Terms & Conditions section to find out more about each airline’s policy."
change_date,"Can I use easy reschedule to change the date, time, or route of my flight?","Some airlines allow changes for date, time, route, and airline, while some only allow changes for date and time. Please refer to the Terms & Conditions section to find out more about each airline’s policy."
change_date,"Is it possible to change the date, time, or route of my flight using easy reschedule?","Some airlines allow changes for date, time, route, and airline, while some only allow changes for date and time. Please refer to the Terms & Conditions section to find out more about each airline’s policy."
change_name,are change of passengers names or detailed allowed in reschedule?,"You are not allowed to change any passengers’ names or details that you have entered in the original booking. If additional information such as date of birth is required in the new booking, we will prompt you to enter it."
change_name,Is it possible to update the passengers' names or details during a reschedule?,"You are not allowed to change any passengers’ names or details that you have entered in the original booking. If additional information such as date of birth is required in the new booking, we will prompt you to enter it."
change_name,Is it possible to reschedule and modify the passengers' names or details?,"You are not allowed to change any passengers’ names or details that you have entered in the original booking. If additional information such as date of birth is required in the new booking, we will prompt you to enter it."
checkin_online,How to Check In Online ?,"Online check-in allows you to check in for your flights online prior to your arrival at the airport. You can check in online via Traveloka App or website by following these steps on this linkk, click this link, https://bit.ly/CheckInOnlineTraveloka"
checkin_online,What is the procedure for checking in online?,"Online check-in allows you to check in for your flights online prior to your arrival at the airport. You can check in online via Traveloka App or website by following these steps on this linkk, click this link, https://bit.ly/CheckInOnlineTraveloka"
checkin_online,What is the procedure for checking in via the internet?,"Online check-in allows you to check in for your flights online prior to your arrival at the airport. You can check in online via Traveloka App or website by following these steps on this linkk, click this link, https://bit.ly/CheckInOnlineTraveloka"
checkin_online,How can I check in on the internet?,"Online check-in allows you to check in for your flights online prior to your arrival at the airport. You can check in online via Traveloka App or website by following these steps on this linkk, click this link, https://bit.ly/CheckInOnlineTraveloka"
child_onboard,Are children under 6 years old allowed onboard?,Children under the age of 6 are allowed to board the plane exempted from vaccination and COVID-19 test requirements. Travel requirements for children under 6 are as follows: They must be accompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and Following strict health protocols
child_onboard,Can children under 6 years old allowed onboard?,Children under the age of 6 are allowed to board the plane exempted from vaccination and COVID-19 test requirements. Travel requirements for children under 6 are as follows: They must be accompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and Following strict health protocols
child_onboard,Is it allowed of a children under 6 years old to be onboard?,Children under the age of 6 are allowed to board the plane exempted from vaccination and COVID-19 test requirements. Travel requirements for children under 6 are as follows: They must be accompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and Following strict health protocols
child_onboard,is it a baby allowed onboard?,Children under the age of 6 are allowed to board the plane exempted from vaccination and COVID-19 test requirements. Travel requirements for children under 6 are as follows: They must be accompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and Following strict health protocols
child_onboard,is it okay for baby onboard?,Children under the age of 6 are allowed to board the plane exempted from vaccination and COVID-19 test requirements. Travel requirements for children under 6 are as follows: They must be accompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and Following strict health protocols
child_onboard,Is it allowed of a children under 6 years old to be onboard?,Children under the age of 6 are allowed to board the plane exempted from vaccination and COVID-19 test requirements. Travel requirements for children under 6 are as follows: They must be accompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and Following strict health protocols
covid_dose,What kind of test results that i need if i have received the 2nd dose of vaccine or booster vaccine?,"The COVID-19 test regulations differ depending on the origin airport and the destination airport. For a smooth and comfortable trip, make sure you meet all the requirements in the city or country of origin, destination, and transit by reading the flight requirements info on this page (https://www.traveloka.com/en-id/flight/safe-travel). The page displays the most restrictive information based on the latest government regulations and the page is also regularly updated."
covid_dose,"I have received the 2nd dose of vaccine or booster vaccine, what test results do I need?","The COVID-19 test regulations differ depending on the origin airport and the destination airport. For a smooth and comfortable trip, make sure you meet all the requirements in the city or country of origin, destination, and transit by reading the flight requirements info on this page (https://www.traveloka.com/en-id/flight/safe-travel). The page displays the most restrictive information based on the latest government regulations and the page is also regularly updated."
covid_dose,Do I still need the covid test results even though I have received the 2nd dose of vaccine or booster vaccine?,"The COVID-19 test regulations differ depending on the origin airport and the destination airport. For a smooth and comfortable trip, make sure you meet all the requirements in the city or country of origin, destination, and transit by reading the flight requirements info on this page (https://www.traveloka.com/en-id/flight/safe-travel). The page displays the most restrictive information based on the latest government regulations and the page is also regularly updated."
extra_baggage,How to Purchase Extra Baggage ?,"Purchase Extra Baggage, you have to make your e-ticket is issued .If your e-ticket has been issued, you can purchase extra baggage during check-in at the airport, or by contacting the airline directly.  Find the complete step in this link, https://bit.ly/PurchaseExtraBaggage"
extra_baggage,How do I buy additional baggage?,"Purchase Extra Baggage, you have to make your e-ticket is issued .If your e-ticket has been issued, you can purchase extra baggage during check-in at the airport, or by contacting the airline directly.  Find the complete step in this link, https://bit.ly/PurchaseExtraBaggage"
extra_baggage,How Do I Buy Extra Baggage?,"Purchase Extra Baggage, you have to make your e-ticket is issued .If your e-ticket has been issued, you can purchase extra baggage during check-in at the airport, or by contacting the airline directly.  Find the complete step in this link, https://bit.ly/PurchaseExtraBaggage"
extra_baggage,What is the procedure for purchasing additional luggage?,"Purchase Extra Baggage, you have to make your e-ticket is issued .If your e-ticket has been issued, you can purchase extra baggage during check-in at the airport, or by contacting the airline directly.  Find the complete step in this link, https://bit.ly/PurchaseExtraBaggage"
extra_baggage,How to Buy Extra Baggage,"Purchase Extra Baggage, you have to make your e-ticket is issued .If your e-ticket has been issued, you can purchase extra baggage during check-in at the airport, or by contacting the airline directly.  Find the complete step in this link, https://bit.ly/PurchaseExtraBaggage"
flight_document,what document do i need to prepare to allow onboard?,"COVID-19 vaccine certificates, PCR or rapid antigen test results, and eHAC are currently accessible through the PeduliLindungi application. However, we recommend you to bring a print out version of the documents, that can be used for document verification if you experience verification problems using the PeduliLindungi application. Please make sure you have read and fulfilled all the requirements to be allowed onboard by accessing this page https://www.traveloka.com/en-id/flight/safe-travel and entering your origin and destination airports."
flight_document,"If i want to board a plane, are there any documents needed?","COVID-19 vaccine certificates, PCR or rapid antigen test results, and eHAC are currently accessible through the PeduliLindungi application. However, we recommend you to bring a print out version of the documents, that can be used for document verification if you experience verification problems using the PeduliLindungi application. Please make sure you have read and fulfilled all the requirements to be allowed onboard by accessing this page https://www.traveloka.com/en-id/flight/safe-travel and entering your origin and destination airports."
flight_document,Are there any documents required if you want to board the plane?,"COVID-19 vaccine certificates, PCR or rapid antigen test results, and eHAC are currently accessible through the PeduliLindungi application. However, we recommend you to bring a print out version of the documents, that can be used for document verification if you experience verification problems using the PeduliLindungi application. Please make sure you have read and fulfilled all the requirements to be allowed onboard by accessing this page https://www.traveloka.com/en-id/flight/safe-travel and entering your origin and destination airports."
flight_ehac,What is ehac?,eHAC stands for electronic-Health Alert Card. eHAC is intended for all domestic and international travelers during the COVID-19 pandemic. eHAC is expected to be a means of minimizing the risk of transmission of COVID-19 by travellers.
flight_ehac,What does ehac mean?,eHAC stands for electronic-Health Alert Card. eHAC is intended for all domestic and international travelers during the COVID-19 pandemic. eHAC is expected to be a means of minimizing the risk of transmission of COVID-19 by travellers.
flight_ehac,ehac?,eHAC stands for electronic-Health Alert Card. eHAC is intended for all domestic and international travelers during the COVID-19 pandemic. eHAC is expected to be a means of minimizing the risk of transmission of COVID-19 by travellers.
flight_ehac,The definition of eHAC?,eHAC stands for electronic-Health Alert Card. eHAC is intended for all domestic and international travelers during the COVID-19 pandemic. eHAC is expected to be a means of minimizing the risk of transmission of COVID-19 by travellers.
flight_idcard,Does the Name on the Flight Ticket Have to be The Same as the ID Card?,"The passenger name on e-ticket must match the name on the ID Card (KTP) or Passport. If there's a mistake in the e-ticket, kindly rectify prior to departure otherwise the airlines have the right to refuse check-in."
flight_idcard,What if the name on my flight ticket and ID card is different?,"The passenger name on e-ticket must match the name on the ID Card (KTP) or Passport. If there's a mistake in the e-ticket, kindly rectify prior to departure otherwise the airlines have the right to refuse check-in."
flight_idcard,What if an error occurs so that the name on my flight ticket and ID Card is different?,"The passenger name on e-ticket must match the name on the ID Card (KTP) or Passport. If there's a mistake in the e-ticket, kindly rectify prior to departure otherwise the airlines have the right to refuse check-in."
flight_idcard,can i get onboard if the name on my ticket different from my id?,"The passenger name on e-ticket must match the name on the ID Card (KTP) or Passport. If there's a mistake in the e-ticket, kindly rectify prior to departure otherwise the airlines have the right to refuse check-in."
flight_idcard,is it allowed to flight of the name on my ID and fligth ticket different?,"The passenger name on e-ticket must match the name on the ID Card (KTP) or Passport. If there's a mistake in the e-ticket, kindly rectify prior to departure otherwise the airlines have the right to refuse check-in."
flight_international,Have foreign countries started to open their countries to visit?,"Some countries have opened their borders for international tourists, please ensure you have fulfilled travel regulations in origin country and destination country when flying abroad. Here is the list of countries that have opened their borders and the regulations https://blog.wego.com/international-reopening/"
flight_international,Are there any foreign countries that are already open to visit?,"Some countries have opened their borders for international tourists, please ensure you have fulfilled travel regulations in origin country and destination country when flying abroad. Here is the list of countries that have opened their borders and the regulations https://blog.wego.com/international-reopening/"
flight_international,Is there currently a foreign country that can be visited?,"Some countries have opened their borders for international tourists, please ensure you have fulfilled travel regulations in origin country and destination country when flying abroad. Here is the list of countries that have opened their borders and the regulations https://blog.wego.com/international-reopening/"
flight_international,"I want to go abroad, is it possible?","Some countries have opened their borders for international tourists, please ensure you have fulfilled travel regulations in origin country and destination country when flying abroad. Here is the list of countries that have opened their borders and the regulations https://blog.wego.com/international-reopening/"
flight_recquirement,what is the the requitment for flight,"Travelers who have been vaccinated in 2 doses or 3 doses (booster), are not required to present a negative result of the rapid antigen or PCR test when traveling. Travelers who have just vaccinated in 1 dose, must present a negative rapid antigen test result with sample taken maximum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure. Travelers who are not / have not been vaccinated for medical reasons or comorbid, must present a statement from a specialist doctor of government hospital (with the need to also present a negative rapid antigen test result with sample taken maxinum of 1x24 hours before departure or PCR test result with sample taken maximum of 3x24 hours before departure). Children under the age of 6 are allowed to board the plane, exempted from vaccination and COVID-19 test requirements, but must beaccompanied by their parent or travel companion that have met vaccination and COVID-19 test requirements and following strict health protocols."
